conversation_id,created_at,full_text
1.45056E+18,2021-10-19T20:41:38.000Z,📈🐂 https://t.co/b41ucVeuTo
1.47063E+18,2021-12-14T06:01:03.000Z,"Buy the dip... at $30,000. 😂 https://t.co/QwSh8VkXlU"
1.4507E+18,2021-10-20T05:28:31.000Z,#Bitcoin is coming... https://t.co/ZNH6fUX2Sa
1.34725E+18,2021-01-07T18:18:08.000Z,"$40,000!! 🔥"
1.49364E+18,2022-02-15T17:45:20.000Z,"$44,000."
1.46426E+18,2021-11-26T15:43:42.000Z,https://t.co/vhcvTk2p4k
1.36354E+18,2021-02-21T17:29:31.000Z,"$57,850."
1.42494E+18,2021-08-10T04:02:06.000Z,"$46,000."
1.71936E+18,2023-10-31T14:36:13.000Z,https://t.co/nh5hiGcN3E
1.47998E+18,2022-01-09T00:39:36.000Z,"Jan, 8th 2021: $40,800

Jan, 8th 2022: $40,800

#Bitcoin seems like a stable currency with juicy vol to sell."
1.36293E+18,2021-02-20T00:47:27.000Z,"$56,250."
1.51159E+18,2022-04-06T06:40:34.000Z,It is never too late. https://t.co/cxNpMqq4wC
1.44523E+18,2021-10-05T03:28:54.000Z,The sooner the better! https://t.co/e7ekuBBc5W
1.41785E+18,2021-07-21T13:53:16.000Z,"$31,500."
1.47294E+18,2021-12-20T14:46:23.000Z,No one uses #Bitcoin... https://t.co/gEf2j0x3Co
1.38181E+18,2021-04-13T03:24:32.000Z,"$60,900."
1.48253E+18,2022-01-16T01:49:22.000Z,https://t.co/14bFOuJOHD
1.42766E+18,2021-08-17T16:06:59.000Z,#Bitcoin becomes legal tender in El Salvador in 22 days.
1.54398E+18,2022-07-04T15:12:02.000Z,"As you celebrate July 4th, remember these inspiring words about this great nation from the @POTUS. https://t.co/0ejLMcg2AK"
1.52499E+18,2022-05-13T05:41:18.000Z,"The $BTC all-time high is $68,990.

An 80% draw-down is $13,798. $27k is about halfway there.

This is #Bitcoin. Be prepared. ❄️"
1.36437E+18,2021-02-24T00:35:44.000Z,https://t.co/fcUKOjrhd7
1.36969E+18,2021-03-10T16:33:05.000Z,"$56,250."
1.43892E+18,2021-09-17T17:19:58.000Z,"From 1980 to 2020 the @McDonalds Big Mac gone from $0.50 to $8 and lost ~40% of its size. 2% transitory inflation, right? https://t.co/2AqgtuvtAb"
1.44889E+18,2021-10-15T05:49:54.000Z,"$59,600."
1.36278E+18,2021-02-19T15:05:53.000Z,"$53,000."
1.45159E+18,2021-10-22T16:35:28.000Z,"$61,000 #Bitcoin. https://t.co/ufOIGYbnmP"
1.4579E+18,2021-11-09T02:38:16.000Z,"$67,300."
1.59095E+18,2022-11-11T05:52:05.000Z,https://t.co/cewpeNdJIZ
1.49E+18,2022-02-05T16:27:33.000Z,"$41,675. We're lovin' it! @McDonalds https://t.co/vVYBzA6KSb"
1.45555E+18,2021-11-02T14:51:58.000Z,"$63,500."
1.61683E+18,2023-01-21T16:22:20.000Z,"$23,000."
1.44886E+18,2021-10-15T03:42:15.000Z,"$59,250."
1.4333E+18,2021-09-02T05:19:13.000Z,"$49,600."
1.64804E+18,Mon Apr 17 23:59:59 +0000 2023,@deezy_BTC @Pluto_Alliance Enjoy 😎
1.64811E+18,Mon Apr 17 23:59:58 +0000 2023,"ドル円134円米国債2年利回り4.2%に上がってしまいましたね…
下落に注意です🙂
＃BTC ＃Bitcoin https://t.co/6Kh7DRENoW"
1.64811E+18,Mon Apr 17 23:59:54 +0000 2023,Am I high on mushrooms or is $btc below 30k a gift?
1.64811E+18,Mon Apr 17 23:59:51 +0000 2023,"Updated Bitcoin transaction fees: 
    
BCH Next Block: $0.0007 
BCH Weekly Median: $0.0005 

BTC Next Block: $1.97 
BTC Weekly Median: $0.86"
1.64811E+18,Mon Apr 17 23:59:46 +0000 2023,AnchorWatch launch coming soon. Use promo code: LEGIT @bradmillscan @Rob1Ham @BeccaAmilee #Bitcoin https://t.co/JJDubT6cjb
1.64811E+18,Mon Apr 17 23:59:46 +0000 2023,"Btc có hỗ trợ 29,2 và ema 89 h4 và hop luu 28.1 ema 200 h4 và ema 34 d1. Nên hỗ trợ mạnh nhất là 28k ae muốn gom phải chờ về hỗ trợ mạnh có tín hiệu đảo chiều. Vì H4 đang có phân kỳ giảm rõ ràng. Nhịp này mình đoán 31k là đỉnh của sóng này. https://t.co/KO1H0JxTa3"
1.64811E+18,Mon Apr 17 23:59:45 +0000 2023,"$BTC

Got that new high, and now trading back within that channel

Though it's a good look for that deeper pullback, trading below $28.5k~ would add confidence

Would be looking to bid low $26k~ for a significant dead-cat bounce up https://t.co/iD2Aprvicp"
1.64811E+18,Mon Apr 17 23:59:41 +0000 2023,Why did the bitcoin mining stock end on Monday? - https://t.co/EZHsjfTZPD
1.64811E+18,Mon Apr 17 23:59:40 +0000 2023,Bitcoin price index https://t.co/o7UcHJUhC6 #USD #EUR #CNY #GBP #RUB https://t.co/BIH4PdrYJI
1.64811E+18,Mon Apr 17 23:59:39 +0000 2023,First sell signal triggered on daily $BTC super trend. https://t.co/PUE1PeHYOd
1.64811E+18,Mon Apr 17 23:59:36 +0000 2023,#Bitcoin hitting lower level 1st band 2hour timeframe- #BuySignal @ 29495.45 #btc #bitcoin
1.64811E+18,Mon Apr 17 23:59:35 +0000 2023,"@BitcoinApes_ No.1 in sales
#Bitcoin #Ordinals #bayc"
1.6481E+18,Mon Apr 17 23:59:30 +0000 2023,@longstreet_btc Beautiful guitar!
1.648E+18,Mon Apr 17 23:59:28 +0000 2023,"@zengaku_bitcoin あれ？！
またアイコン変わってるぅ🤣"
1.64809E+18,Mon Apr 17 23:59:25 +0000 2023,@btc_bryan_21 @SenWarren @nytimes That's a ridiculous argument. Entropy is not money.
1.64811E+18,Mon Apr 17 23:59:22 +0000 2023,The Legendary Golden Cross #bitcoin https://t.co/Z2RqlMFkNK
1.64795E+18,Mon Apr 17 23:59:21 +0000 2023,"@AlexandertheBTC How will the credit market work under a bitcoin standard?  That’s something that I don’t have an answer to yet.  How will people borrow bitcoin to buy a house, when the amount of bitcoin in their paychecks goes down every year?"
1.64808E+18,Mon Apr 17 23:59:21 +0000 2023,@BinTiger22 @BTC_DeGods keen eyes as ALWAYS brother! And those Rug Rats POP on this guy!
1.64805E+18,Mon Apr 17 23:59:20 +0000 2023,"@kimoeeeee @PoW90586695 @nft4dummies @saylor @MicroStrategy ETH may flip bitcoin for a short time, but at the end of the day, only 1 is truly decentralized. ETH will go to zero long term."
1.64801E+18,Mon Apr 17 23:59:20 +0000 2023,@syora_btc You need this https://t.co/lnAHDljAw7
1.64811E+18,Mon Apr 17 23:59:19 +0000 2023,"@BobLoukas And companies are simply taking the fucking piss. Price gouging is rampant. Tipping culture out of control. Shrinkflation. You name it. 

I spend all my money on Bitcoin and Pot Noodles."
1.64811E+18,Mon Apr 17 23:59:19 +0000 2023,"プエルマルチプルどおり青い領域で買い増しして赤い領域で保険としてヘッジかければほぼ成功する。
これだけを眺めてればいいんじゃないかと思えてくる。
#btc
#PuellMultiple https://t.co/XPdkPhtmtC"
1.64811E+18,Mon Apr 17 23:59:18 +0000 2023,Tonight we cover how @SHAQ finally grew up after 6 months of hiding
