conversation_id,created_at,full_text,Processed_Tweet
1.44111e+18,2021-09-23T18:55:03.000Z,Legal tender in El Salvador 🇸🇻. The native currency for @Twitter. #Bitcoin adoption is growing everyday. https://t.co/1rVrbYpuMh,legal tender el salvador native currency bitcoin adoption growing everyday
1.42368e+18,2021-08-06T15:59:56.000Z,"$42,000.",42000
1.38199e+18,2021-04-13T15:11:17.000Z,"$63,000.",63000
1.48321e+18,2022-01-17T22:53:51.000Z,You can wish. https://t.co/AJTXRrUv6o,wish
1.25993e+18,2020-05-11T19:24:54.000Z,"#Bitcoin Halving occurred on block 630,000. 

We're now in the 4th Epoch.",bitcoin halving occurred block 630000 4th epoch
1.36932e+18,2021-03-09T15:54:16.000Z,"$54,150.",54150
1.54667e+18,2022-07-12T01:22:56.000Z,https://t.co/6FYQegrQ9R,
1.42886e+18,2021-08-20T23:35:16.000Z,"$49,200.",49200
1.45555e+18,2021-11-02T14:53:20.000Z,"The US government printed $3T dollars in 2020. @elonmusk, Why is world hunger not solved? https://t.co/NKW30cHkpw",u government printed 3t dollar 2020 world hunger solved
1.44541e+18,2021-10-05T15:06:58.000Z,"$50,000.",50000
1.36318e+18,2021-02-20T17:24:43.000Z,"$57,250.",57250
1.47954e+18,2022-01-07T19:27:13.000Z,The perpetual battle continues. #Bitcoin https://t.co/BlYFyj4BXB,perpetual battle continues bitcoin
1.36002e+18,2021-02-12T00:22:05.000Z,"$48,900.",48900
1.40299e+18,2021-06-10T14:23:49.000Z,"$37,500.",37500
1.4666e+18,2021-12-03T02:28:48.000Z,https://t.co/j7WkVow2QE,
1.44512e+18,2021-10-04T20:31:34.000Z,"$49,000.",49000
1.54165e+18,2022-06-28T05:10:19.000Z,https://t.co/417if8W4ja,
1.45483e+18,2021-10-31T15:34:11.000Z,The evaporating $USD. https://t.co/Z1zl9BC9Cv,evaporating usd
1.35878e+18,2021-02-08T14:14:53.000Z,"$43,500.",43500
1.45056e+18,2021-10-19T20:41:38.000Z,📈🐂 https://t.co/b41ucVeuTo,
